track_name,course_name,course_desc,course_author,course_duration,course_price,course_original_price,course_img
Programming,Math for Machine Learning,Math for Machine Learning (ITVERSE),ITVERSE,2h,499,999,Math for Machine Learning.jpg
Operating Systems,Memory Management,Memory Management (ITVERSE),ITVERSE,2h,499,999,Memory Management.jpg
AWS Cloud,Monitoring & Logging with CloudWatch & AWS X Ray,Monitoring & Logging with CloudWatch & AWS X Ray (ITVERSE),ITVERSE,2h,499,999,Monitoring & Logging with CloudWatch & AWS X-Ray.jpg
DevOps,Data Science Fundamentals,Data Science Fundamentals (ITVERSE),ITVERSE,2h,499,999,Data Science Fundamentals.webp
Data Science,Data Visualization Basics,Data Visualization Basics (ITVERSE),ITVERSE,2h,499,999,Data Visualization Basics.png
DevOps,Grafana),Grafana) (ITVERSE),ITVERSE,2h,499,999,Grafana).png
Programming,Infrastructure as Code Basics,Infrastructure as Code Basics (ITVERSE),ITVERSE,2h,499,999,Infrastructure as Code Basics.webp
Data Science,Python for Data Analysis,Python for Data Analysis (ITVERSE),ITVERSE,2h,499,999,Python for Data Analysis.jpg
DevOps,Statistics for Data Science,Statistics for Data Science (ITVERSE),ITVERSE,2h,499,999,Statistics for Data Science.png
DevOps,Network Monitoring Basics,Network Monitoring Basics (ITVERSE),ITVERSE,2h,499,999,Network Monitoring Basics.jpeg
Cyber Security,Network Security,Network Security (ITVERSE),ITVERSE,2h,499,999,Network Security.jpeg
Networking,Network Services (DNS⁄DHCP⁄NTP),Network Services (DNS⁄DHCP⁄NTP) (ITVERSE),ITVERSE,2h,499,999,Network Services (DNS⁄DHCP⁄NTP).webp
Networking,Network Troubleshooting,Network Troubleshooting (ITVERSE),ITVERSE,2h,499,999,Network Troubleshooting.avif
Networking,Networking Fundamentals,Networking Fundamentals (ITVERSE),ITVERSE,2h,499,999,Networking Fundamentals.jpg
Networking,NetworkTroubleshooting,NetworkTroubleshooting (ITVERSE),ITVERSE,2h,499,999,NetworkTroubleshooting.avif
Networking,Neural Networks Basics,Neural Networks Basics (ITVERSE),ITVERSE,2h,499,999,Neural Networks Basics.avif
AI,NLP Essentials,NLP Essentials (ITVERSE),ITVERSE,2h,499,999,NLP Essentials.jpeg
Networking,NTP),NTP) (ITVERSE),ITVERSE,2h,499,999,NTP).jpeg
Programming,Object Oriented Programming,Object Oriented Programming (ITVERSE),ITVERSE,2h,499,999,Object-Oriented Programming.png
Operating Systems,OS Fundamentals,OS Fundamentals (ITVERSE),ITVERSE,2h,499,999,OS Fundamentals.jpg
Operating Systems,OS Troubleshooting,OS Troubleshooting (ITVERSE),ITVERSE,2h,499,999,OS Troubleshooting.png
Cyber Security,owasp top ten updates main,owasp top ten updates main (ITVERSE),ITVERSE,2h,499,999,owasp-top-ten-updates-main.png
Cyber Security,Penetration Testing Basics,Penetration Testing Basics (ITVERSE),ITVERSE,2h,499,999,Penetration Testing Basics.png
DevOps,Performance and Monitoring,Performance and Monitoring (ITVERSE),ITVERSE,2h,499,999,Performance and Monitoring.jpeg
Cyber Security,Permissions and Security Basics,Permissions and Security Basics (ITVERSE),ITVERSE,2h,499,999,Permissions and Security Basics.webp
Programming,PHP Web Development,PHP Web Development (ITVERSE),ITVERSE,2h,499,999,PHP Web Development.webp
Operating Systems,Processes and Threads,Processes and Threads (ITVERSE),ITVERSE,2h,499,999,Processes and Threads.jpg
AI,Python for AI,Python for AI (ITVERSE),ITVERSE,2h,499,999,Python for AI.jpg
Data Science,Python for Data Analysis,Python for Data Analysis (ITVERSE),ITVERSE,2h,499,999,Python for Data Analysis.jpg
Programming,PythonFoundations,PythonFoundations (ITVERSE),ITVERSE,2h,499,999,PythonFoundations.png
Networking,Routing Basics (Static & Dynamic),Routing Basics (Static & Dynamic) (ITVERSE),ITVERSE,2h,499,999,Routing Basics (Static & Dynamic).webp
Cyber Security,Security Fundamentals,Security Fundamentals (ITVERSE),ITVERSE,2h,499,999,Security Fundamentals.png
Cyber Security,Security Tools Essentials,Security Tools Essentials (ITVERSE),ITVERSE,2h,499,999,Security Tools Essentials.jpeg
AWS Cloud,"Serverless on AWS: Lambda, API Gateway & EventBridge","Serverless on AWS: Lambda, API Gateway & EventBridge (ITVERSE)",ITVERSE,2h,499,999,"Serverless on AWS: Lambda, API Gateway & EventBridge.webp"
Cyber Security,SOC & Incident Response,SOC & Incident Response (ITVERSE),ITVERSE,2h,499,999,SOC & Incident Response.webp
DevOps,Statistics for Data Science,Statistics for Data Science (ITVERSE),ITVERSE,2h,499,999,Statistics for Data Science.png
AWS Cloud,Subnetting Mastery,Subnetting Mastery (ITVERSE),ITVERSE,2h,499,999,Subnetting Mastery.png
Programming,Supervised Learning,Supervised Learning (ITVERSE),ITVERSE,2h,499,999,Supervised Learning.png
Programming,switc,switc (ITVERSE),ITVERSE,2h,499,999,switc.jpeg
Networking,tcp,tcp (ITVERSE),ITVERSE,2h,499,999,tcp.webp
Programming,Unsupervised Learning,Unsupervised Learning (ITVERSE),ITVERSE,2h,499,999,Unsupervised Learning.jpg
Cyber Security,Vulnerability Assessment,Vulnerability Assessment (ITVERSE),ITVERSE,2h,499,999,Vulnerability Assessment.png
Cyber Security,Web Security Basics,Web Security Basics (ITVERSE),ITVERSE,2h,499,999,Web Security Basics.webp
Operating Systems,Windows OS Essentials,Windows OS Essentials (ITVERSE),ITVERSE,2h,499,999,Windows OS Essentials.jpg
Networking,wireless,wireless (ITVERSE),ITVERSE,2h,499,999,wireless.png
